gps_center,band_psd,n_avg
1256693312.0,1.879680e-46,63
1256693440.0,1.914137e-46,63
1256693568.0,1.899727e-46,63
1256693696.0,1.889458e-46,63
1256693824.0,1.896366e-46,63
1256693952.0,1.915375e-46,63
1256694080.0,1.853907e-46,63
1256694208.0,1.851837e-46,63
1256694336.0,1.872203e-46,63
1256694464.0,1.888571e-46,63
1256694592.0,1.897940e-46,63
1256694720.0,1.897414e-46,63
1256694848.0,1.877008e-46,63
1256694976.0,1.884837e-46,63
1256695104.0,1.871985e-46,63
1256695232.0,1.929146e-46,63
1256695360.0,1.900435e-46,63
1256695488.0,1.895540e-46,63
1256695616.0,1.898840e-46,63
1256695744.0,1.865106e-46,63
1256695872.0,1.874390e-46,63
1256696000.0,1.848044e-46,63
1256696128.0,1.868380e-46,63
1256696256.0,1.836758e-46,63
1256696384.0,1.890385e-46,63
1256696512.0,1.878914e-46,63
1256696640.0,1.891509e-46,63
1256696768.0,1.895303e-46,63
1256696896.0,1.901900e-46,63
1256697024.0,1.876530e-46,63
1256697152.0,1.846486e-46,63
1256697280.0,1.873672e-46,63
1256697408.0,1.895656e-46,63
1256697536.0,1.853027e-46,63
1256697664.0,1.838176e-46,63
1256697792.0,1.858120e-46,63
1256697920.0,1.849739e-46,63
1256698048.0,1.857468e-46,63
1256698176.0,1.900830e-46,63
1256698304.0,1.873296e-46,63
1256698432.0,1.865820e-46,63
1256698560.0,1.902284e-46,63
1256698688.0,1.867857e-46,63
1256698816.0,1.867866e-46,63
1256698944.0,1.855453e-46,63
1256699072.0,1.874898e-46,63
1256699200.0,1.872213e-46,63
1256699328.0,1.860717e-46,63
1256699456.0,1.868987e-46,63
1256699584.0,1.865835e-46,63
1256699712.0,1.874658e-46,63
1256699840.0,1.833886e-46,63
1256699968.0,1.854928e-46,63
1256700096.0,1.838722e-46,63
1256700224.0,1.874879e-46,63
1256700352.0,1.876128e-46,63
1256700480.0,1.926392e-46,63
1256700608.0,1.925219e-46,63
1256700736.0,1.875097e-46,63
1256700864.0,1.858891e-46,63
1256700992.0,1.857171e-46,63
1256701120.0,1.841691e-46,63
