
=== independent dephasing (rate 1) ===
 state                     t        C     c_A  c_A*c_B      DQ      ZQ   analytic
 product |eg>          0.100  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.250  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.500  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.693  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          0.750  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          1.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          1.500  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          2.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan
 product |eg>          3.000  0.00000  0.0000  0.00000  0.0000  0.0000        nan

=== independent damping (rate 1) ===
 state                     t        C     c_A  c_A*c_B      DQ      ZQ   analytic
 Psi+                  0.000  1.00000  0.0000  0.00000  0.0000  1.0000    1.00000
 Psi+                  0.100  0.90484  0.0000  0.00000  0.0000  0.9048    0.90484
 Psi+                  0.250  0.77880  0.0000  0.00000  0.0000  0.7788    0.77880
 Psi+                  0.500  0.60653  0.0000  0.00000  0.0000  0.6065    0.60653
 Psi+                  0.693  0.50007  0.0000  0.00000  0.0000  0.5001    0.50007
 Psi+                  0.750  0.47237  0.0000  0.00000  0.0000  0.4724    0.47237
 Psi+                  1.000  0.36788  0.0000  0.00000  0.0000  0.3679    0.36788
 Psi+                  1.500  0.22313  0.0000  0.00000  0.0000  0.2231    0.22313
 Psi+                  2.000  0.13534  0.0000  0.00000  0.0000  0.1353    0.13534
 Psi+                  3.000  0.04979  0.0000  0.00000  0.0000  0.0498    0.04979
 Phi+                  0.000  1.00000  0.0000  0.00000  1.0000  0.0000    1.00000
 Phi+                  0.100  0.81873  0.0000  0.00000  0.9048  0.0000    0.81873
 Phi+                  0.250  0.60653  0.0000  0.00000  0.7788  0.0000    0.60653
 Phi+                  0.500  0.36788  0.0000  0.00000  0.6065  0.0000    0.36788
 Phi+                  0.693  0.25007  0.0000  0.00000  0.5001  0.0000    0.25007
 Phi+                  0.750  0.22313  0.0000  0.00000  0.4724  0.0000    0.22313
 Phi+                  1.000  0.13534  0.0000  0.00000  0.3679  0.0000    0.13534
 Phi+                  1.500  0.04979  0.0000  0.00000  0.2231  0.0000    0.04979
 Phi+                  2.000  0.01832  0.0000  0.00000  0.1353  0.0000    0.01832
 Phi+                  3.000  0.00248  0.0000  0.00000  0.0498  0.0000    0.00248
 Phi_tilt(0.2,0.8)     0.000  0.80000  0.0000  0.00000  0.8000  0.0000    0.80000
 Phi_tilt(0.2,0.8)     0.100  0.58610  0.0000  0.00000  0.7239  0.0000    0.58610
 Phi_tilt(0.2,0.8)     0.250  0.34741  0.0000  0.00000  0.6230  0.0000    0.34741
 Phi_tilt(0.2,0.8)     0.500  0.10338  0.0000  0.00000  0.4852  0.0000    0.10338
 Phi_tilt(0.2,0.8)     0.693  0.00006  0.0000  0.00000  0.4001  0.0000    0.00006
 Phi_tilt(0.2,0.8)     0.750  0.00000  0.0000  0.00000  0.3779  0.0000    0.00000
 Phi_tilt(0.2,0.8)     1.000  0.00000  0.0000  0.00000  0.2943  0.0000    0.00000
 Phi_tilt(0.2,0.8)     1.500  0.00000  0.0000  0.00000  0.1785  0.0000    0.00000
