deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
10,1.96962,0.3473,200,190,10,0,0,0.95,0.9104,0.9726,0.9698,0.8501,1.0,0.965,0.8333,10,2,1.0,0.5
20,1.87939,0.68404,200,158,42,0,0,0.79,0.7284,0.8407,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.825
30,1.73205,1.0,200,145,54,1,0,0.7286,0.663,0.7857,0.75,0.634,1.0,0.7461,0.625,10,6,1.0,0.985
40,1.53209,1.28558,200,119,80,1,0,0.598,0.5286,0.6636,0.5868,0.5437,1.0,0.5993,0.5714,8,6,1.0,0.995
45,1.41421,1.41421,200,98,95,7,0,0.5078,0.4378,0.5775,0.5,0.5,1.0,0.5,0.5,8,8,1.0,1.0
50,1.28558,1.53209,200,91,109,0,0,0.455,0.3875,0.5242,0.4132,0.4563,0.0,0.4007,0.4286,6,8,1.0,1.0
60,1.0,1.73205,200,59,138,3,0,0.2995,0.2399,0.3668,0.25,0.366,0.0,0.2539,0.375,6,10,0.985,1.0
70,0.68404,1.87939,200,30,168,2,0,0.1515,0.1082,0.2081,0.117,0.2668,0.0,0.123,0.2857,4,10,0.855,1.0
80,0.3473,1.96962,200,8,191,1,0,0.0402,0.0205,0.0773,0.0302,0.1499,0.0,0.035,0.1667,2,10,0.455,1.0
