deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,163,36,1,0,0.8191,0.7597,0.8664,0.883,0.7332,1.0,0.8816,0.7143,20,8,1.0,0.795
45,1.41421,1.41421,200,101,98,1,0,0.5075,0.4386,0.5762,0.5,0.5,1.0,0.5,0.5,16,16,1.0,1.0
70,0.68404,1.87939,200,36,164,0,0,0.18,0.1329,0.2391,0.117,0.2668,0.0,0.1184,0.2857,8,20,0.82,1.0
