deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
10,1.96962,0.3473,300,300,0,0,0,1.0,0.9874,1.0,0.9698,0.8501,1.0,0.965,0.8333,10,2,1.0,0.0
20,1.87939,0.68404,300,297,3,0,0,0.99,0.971,0.9966,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.2267
30,1.73205,1.0,300,259,41,0,0,0.8633,0.8198,0.8976,0.75,0.634,1.0,0.7461,0.625,10,6,0.9967,0.6
40,1.53209,1.28558,300,197,101,2,0,0.6611,0.6056,0.7125,0.5868,0.5437,1.0,0.5993,0.5714,8,6,0.99,0.91
45,1.41421,1.41421,300,147,153,0,0,0.49,0.4339,0.5463,0.5,0.5,1.0,0.5,0.5,8,8,0.97,0.96
50,1.28558,1.53209,300,102,195,2,1,0.3434,0.2917,0.3991,0.4132,0.4563,0.0,0.4007,0.4286,6,8,0.9233,0.9933
60,1.0,1.73205,300,35,264,0,1,0.1171,0.0854,0.1584,0.25,0.366,0.0,0.2539,0.375,6,10,0.6333,0.99
70,0.68404,1.87939,300,5,295,0,0,0.0167,0.0071,0.0384,0.117,0.2668,0.0,0.123,0.2857,4,10,0.22,1.0
80,0.3473,1.96962,300,0,300,0,0,0.0,0.0,0.0126,0.0302,0.1499,0.0,0.035,0.1667,2,10,0.0,1.0
