deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,147,24,1,28,0.8596,0.7997,0.9038,0.883,0.7332,1.0,0.877,0.7143,10,4,0.835,0.24
45,1.41421,1.41421,200,75,95,1,29,0.4412,0.3687,0.5163,0.5,0.5,1.0,0.5,0.5,8,8,0.57,0.635
70,0.68404,1.87939,200,29,141,2,28,0.1706,0.1215,0.2343,0.117,0.2668,0.0,0.123,0.2857,4,10,0.275,0.81
