deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,197,3,0,0,0.985,0.9568,0.9949,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.19
45,1.41421,1.41421,200,77,123,0,0,0.385,0.3203,0.454,0.5,0.5,1.0,0.5,0.5,8,8,0.955,0.965
70,0.68404,1.87939,200,1,199,0,0,0.005,0.0009,0.0278,0.117,0.2668,0.0,0.123,0.2857,4,10,0.185,1.0
