deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
10,1.96962,0.3473,200,186,5,0,9,0.9738,0.9402,0.9888,0.9698,0.8501,1.0,0.965,0.8333,10,2,0.95,0.08
20,1.87939,0.68404,200,162,31,0,7,0.8394,0.781,0.8845,0.883,0.7332,1.0,0.877,0.7143,10,4,0.925,0.285
30,1.73205,1.0,200,139,38,1,22,0.7853,0.7191,0.8394,0.75,0.634,1.0,0.7461,0.625,10,6,0.83,0.37
40,1.53209,1.28558,200,102,68,0,30,0.6,0.5249,0.6706,0.5868,0.5437,1.0,0.5993,0.5714,8,6,0.7,0.62
45,1.41421,1.41421,200,79,105,0,16,0.4293,0.36,0.5016,0.5,0.5,1.0,0.5,0.5,8,8,0.685,0.78
50,1.28558,1.53209,200,66,114,0,20,0.3667,0.2997,0.4392,0.4132,0.4563,0.0,0.4007,0.4286,6,8,0.595,0.77
60,1.0,1.73205,200,50,139,1,10,0.2646,0.2068,0.3317,0.25,0.366,0.0,0.2539,0.375,6,10,0.475,0.885
70,0.68404,1.87939,200,25,165,0,10,0.1316,0.0907,0.187,0.117,0.2668,0.0,0.123,0.2857,4,10,0.255,0.93
80,0.3473,1.96962,200,16,174,0,10,0.0842,0.0525,0.1324,0.0302,0.1499,0.0,0.035,0.1667,2,10,0.115,0.935
