deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,161,38,1,0,0.809,0.7488,0.8576,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.795
45,1.41421,1.41421,200,112,86,2,0,0.5657,0.496,0.6328,0.5,0.5,1.0,0.5,0.5,8,8,0.995,1.0
70,0.68404,1.87939,200,39,161,0,0,0.195,0.1461,0.2554,0.117,0.2668,0.0,0.123,0.2857,4,10,0.76,1.0
