deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,157,43,0,0,0.785,0.723,0.8363,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.915
45,1.41421,1.41421,200,102,98,0,0,0.51,0.4412,0.5784,0.5,0.5,1.0,0.5,0.5,8,8,1.0,1.0
70,0.68404,1.87939,200,36,163,1,0,0.1809,0.1336,0.2403,0.117,0.2668,0.0,0.123,0.2857,4,10,0.91,1.0
