deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,0.93969,0.34202,200,162,38,0,0,0.81,0.75,0.8583,0.883,0.7332,1.0,0.8587,0.75,6,2,0.99,0.495
45,0.70711,0.70711,200,91,106,0,3,0.4619,0.3937,0.5316,0.5,0.5,1.0,0.5,0.5,4,4,0.925,0.93
70,0.34202,0.93969,200,33,166,0,1,0.1658,0.1206,0.2237,0.117,0.2668,0.0,0.1413,0.25,2,6,0.46,0.995
