deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
10,1.96962,0.3473,300,291,8,1,0,0.9732,0.9481,0.9864,0.9698,0.8501,1.0,0.965,0.8333,10,2,1.0,0.2233
20,1.87939,0.68404,300,261,38,1,0,0.8729,0.8304,0.906,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.4533
30,1.73205,1.0,300,221,75,3,1,0.7466,0.6941,0.7928,0.75,0.634,1.0,0.7461,0.625,10,6,0.99,0.7667
40,1.53209,1.28558,300,178,122,0,0,0.5933,0.5369,0.6474,0.5868,0.5437,1.0,0.5993,0.5714,8,6,0.9933,0.9033
45,1.41421,1.41421,300,148,150,2,0,0.4966,0.4403,0.5531,0.5,0.5,1.0,0.5,0.5,8,8,0.96,0.9767
50,1.28558,1.53209,300,132,167,1,0,0.4415,0.3863,0.4981,0.4132,0.4563,0.0,0.4007,0.4286,6,8,0.95,0.9933
60,1.0,1.73205,300,84,215,1,0,0.2809,0.233,0.3344,0.25,0.366,0.0,0.2539,0.375,6,10,0.8033,0.9967
70,0.68404,1.87939,300,28,272,0,0,0.0933,0.0654,0.1316,0.117,0.2668,0.0,0.123,0.2857,4,10,0.5267,1.0
80,0.3473,1.96962,300,9,291,0,0,0.03,0.0159,0.056,0.0302,0.1499,0.0,0.035,0.1667,2,10,0.2033,1.0
