deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,162,36,2,0,0.8182,0.7586,0.8657,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.64
45,1.41421,1.41421,200,89,110,1,0,0.4472,0.3798,0.5167,0.5,0.5,1.0,0.5,0.5,8,8,0.98,1.0
70,0.68404,1.87939,200,43,157,0,0,0.215,0.1637,0.277,0.117,0.2668,0.0,0.123,0.2857,4,10,0.655,1.0
