deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,165,21,0,14,0.8871,0.8336,0.925,0.883,0.7332,1.0,0.877,0.7143,10,4,0.905,0.23
45,1.41421,1.41421,200,96,82,1,21,0.5393,0.466,0.6109,0.5,0.5,1.0,0.5,0.5,8,8,0.71,0.68
70,0.68404,1.87939,200,25,166,0,9,0.1309,0.0903,0.1861,0.117,0.2668,0.0,0.123,0.2857,4,10,0.255,0.93
