deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,1.87939,0.68404,200,156,27,0,17,0.8525,0.7938,0.8966,0.883,0.7332,1.0,0.877,0.7143,10,4,0.88,0.31
45,1.41421,1.41421,200,95,85,0,20,0.5278,0.455,0.5994,0.5,0.5,1.0,0.5,0.5,8,8,0.695,0.655
70,0.68404,1.87939,200,31,154,0,15,0.1676,0.1206,0.228,0.117,0.2668,0.0,0.123,0.2857,4,10,0.285,0.89
