deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
10,1.96962,0.3473,200,145,7,0,48,0.9539,0.908,0.9775,0.9698,0.8501,1.0,0.965,0.8333,10,2,0.75,0.055
20,1.87939,0.68404,200,125,26,0,49,0.8278,0.7597,0.8797,0.883,0.7332,1.0,0.877,0.7143,10,4,0.69,0.175
30,1.73205,1.0,200,111,37,0,52,0.75,0.6745,0.8128,0.75,0.634,1.0,0.7461,0.625,10,6,0.66,0.265
40,1.53209,1.28558,200,83,58,0,59,0.5887,0.5061,0.6665,0.5868,0.5437,1.0,0.5993,0.5714,8,6,0.515,0.39
45,1.41421,1.41421,200,79,75,0,46,0.513,0.4347,0.5906,0.5,0.5,1.0,0.5,0.5,8,8,0.495,0.5
50,1.28558,1.53209,200,53,94,1,52,0.3605,0.2874,0.4408,0.4132,0.4563,0.0,0.4007,0.4286,6,8,0.4,0.56
60,1.0,1.73205,200,36,110,0,54,0.2466,0.1838,0.3224,0.25,0.366,0.0,0.2539,0.375,6,10,0.315,0.645
70,0.68404,1.87939,200,26,129,0,45,0.1677,0.1171,0.2344,0.117,0.2668,0.0,0.123,0.2857,4,10,0.18,0.725
80,0.3473,1.96962,200,6,142,0,52,0.0405,0.0187,0.0856,0.0302,0.1499,0.0,0.035,0.1667,2,10,0.04,0.715
