deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,0.46985,0.17101,200,189,0,0,11,1.0,0.9801,1.0,0.883,0.7332,1.0,1.0,1.0,2,0,0.945,0.0
45,0.35355,0.35355,200,96,100,0,4,0.4898,0.4207,0.5593,0.5,0.5,1.0,0.5,0.5,2,2,0.875,0.83
70,0.17101,0.46985,200,0,188,0,12,0.0,0.0,0.02,0.117,0.2668,0.0,0.0,0.0,0,2,0.0,0.94
