deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
10,1.96962,0.3473,300,274,25,1,0,0.9164,0.8795,0.9427,0.9698,0.8501,1.0,0.965,0.8333,10,2,1.0,0.27
20,1.87939,0.68404,300,251,49,0,0,0.8367,0.7906,0.8742,0.883,0.7332,1.0,0.877,0.7143,10,4,1.0,0.63
30,1.73205,1.0,300,220,79,1,0,0.7358,0.683,0.7825,0.75,0.634,1.0,0.7461,0.625,10,6,0.9967,0.7733
40,1.53209,1.28558,300,169,130,1,0,0.5652,0.5086,0.6202,0.5868,0.5437,1.0,0.5993,0.5714,8,6,0.9833,0.95
45,1.41421,1.41421,300,140,158,1,1,0.4698,0.4139,0.5265,0.5,0.5,1.0,0.5,0.5,8,8,0.9667,0.98
50,1.28558,1.53209,300,136,160,4,0,0.4595,0.4036,0.5164,0.4132,0.4563,0.0,0.4007,0.4286,6,8,0.9333,0.9833
60,1.0,1.73205,300,74,223,3,0,0.2492,0.2034,0.3013,0.25,0.366,0.0,0.2539,0.375,6,10,0.7833,1.0
70,0.68404,1.87939,300,43,256,1,0,0.1438,0.1086,0.1881,0.117,0.2668,0.0,0.123,0.2857,4,10,0.56,1.0
80,0.3473,1.96962,300,25,274,1,0,0.0836,0.0573,0.1205,0.0302,0.1499,0.0,0.035,0.1667,2,10,0.27,1.0
