deg,K_A,K_B,trials,A,B,tie,unresolved,P_A,wilson_lo,wilson_hi,born,linear,strongest,rate_sum,width,eligible_A,eligible_B,commit_frac_A,commit_frac_B
20,3.75877,1.36808,200,157,42,1,0,0.7889,0.7271,0.8399,0.883,0.7332,1.0,0.8816,0.7143,20,8,1.0,0.585
45,2.82843,2.82843,200,95,103,2,0,0.4798,0.4113,0.5491,0.5,0.5,1.0,0.5,0.5,16,16,0.97,0.97
70,1.36808,3.75877,200,52,147,1,0,0.2613,0.2052,0.3265,0.117,0.2668,0.0,0.1184,0.2857,8,20,0.665,1.0
